"nobs","Mmod","Smod","kernel","logISE","bandwidth","timing"
125,1,1,"smlnorm",NA,0.197876117395205,0.00792646408081055
125,1,1,"Wishart",NA,0.0933650401794613,1.10102391242981
125,1,1,"smlnorm",NA,0.104557462945128,0.00824427604675293
125,1,1,"Wishart",NA,0.270280511350535,0.967704296112061
125,1,1,"smlnorm",NA,0.169102189649148,0.00800848007202148
125,1,1,"Wishart",NA,0.228565442969348,0.954252481460571
125,1,1,"smlnorm",NA,0.207840755423978,0.00785064697265625
125,1,1,"Wishart",NA,0.246793440982347,0.987133741378784
125,1,1,"smlnorm",NA,0.0911605762248653,0.0083005428314209
125,1,1,"Wishart",NA,0.266645732335955,0.973006010055542
125,1,1,"smlnorm",NA,0.183353749784487,0.00752663612365723
125,1,1,"Wishart",NA,0.280069293224896,0.954163551330566
125,1,1,"smlnorm",NA,0.209677867296761,0.00741982460021973
125,1,1,"Wishart",NA,0.259582170703269,0.965775489807129
125,1,1,"smlnorm",NA,0.178217008797769,0.00795698165893555
125,1,1,"Wishart",NA,0.244699315035759,1.05373668670654
125,1,1,"smlnorm",NA,0.205561665454866,0.0076141357421875
125,1,1,"Wishart",NA,0.128075615155618,1.0257396697998
125,1,1,"smlnorm",NA,0.0865376770432673,0.00830197334289551
125,1,1,"Wishart",NA,1.21343764700634,0.966554880142212
125,1,1,"smlnorm",NA,0.145575095899226,0.00828075408935547
125,1,1,"Wishart",NA,0.202823064946543,1.06996822357178
125,1,1,"smlnorm",NA,0.185028573558811,0.00790286064147949
125,1,1,"Wishart",NA,0.169288342365461,1.06515526771545
125,1,1,"smlnorm",NA,0.13995432618673,0.00756001472473145
125,1,1,"Wishart",NA,0.349805014739719,0.954239368438721
125,1,1,"smlnorm",NA,0.149346713844794,0.00859379768371582
125,1,1,"Wishart",NA,0.240021587209452,0.954324007034302
125,1,1,"smlnorm",NA,0.195173954121853,0.00807404518127441
125,1,1,"Wishart",NA,0.19894126261373,1.02290630340576
125,1,1,"smlnorm",NA,0.186901113278419,0.00794744491577148
125,1,1,"Wishart",NA,0.197180197771452,0.988791227340698
125,1,1,"smlnorm",NA,0.103706050352937,0.00825881958007812
125,1,1,"Wishart",NA,0.308543516261547,0.983737468719482
125,1,1,"smlnorm",NA,0.0785349011366528,0.00833654403686523
125,1,1,"Wishart",NA,0.164234233975226,0.944634437561035
125,1,1,"smlnorm",NA,0.136167722821644,0.0078880786895752
125,1,1,"Wishart",NA,0.161579360644679,0.952529907226562
125,1,1,"smlnorm",NA,0.162627640652123,0.00744938850402832
125,1,1,"Wishart",NA,0.169448284433391,1.04607224464417
125,1,1,"smlnorm",NA,0.127295145834924,0.00797772407531738
125,1,1,"Wishart",NA,0.298646721189718,1.01049280166626
125,1,1,"smlnorm",NA,0.219362472723023,0.00721454620361328
125,1,1,"Wishart",NA,0.197776643556887,0.993629932403564
125,1,1,"smlnorm",NA,0.159541063466979,0.00753235816955566
125,1,1,"Wishart",NA,0.301468654742955,0.991484403610229
125,1,1,"smlnorm",NA,0.108015716581609,0.00829386711120605
125,1,1,"Wishart",NA,0.246377475738913,1.01989126205444
125,1,1,"smlnorm",NA,0.177537908577105,0.00755572319030762
125,1,1,"Wishart",NA,0.230371004598264,0.965388059616089
125,1,1,"smlnorm",NA,0.193245390329506,0.00796675682067871
125,1,1,"Wishart",NA,0.148743936502676,1.0329384803772
125,1,1,"smlnorm",NA,0.188485147904385,0.0079503059387207
125,1,1,"Wishart",NA,0.185284202023054,1.0701732635498
125,1,1,"smlnorm",NA,0.126495497809055,0.00831079483032227
125,1,1,"Wishart",NA,0.204997697091602,0.957579135894775
125,1,1,"smlnorm",NA,0.159947129557444,0.00728893280029297
125,1,1,"Wishart",NA,0.109891339151184,1.04150629043579
125,1,1,"smlnorm",NA,0.132172093020075,0.00759983062744141
125,1,1,"Wishart",NA,0.451614614631588,0.975342512130737
125,1,1,"smlnorm",NA,0.162261563899345,0.00757908821105957
125,1,1,"Wishart",NA,0.16366676752253,0.952735662460327
125,1,1,"smlnorm",NA,0.180809251183643,0.00811266899108887
125,1,1,"Wishart",NA,0.107467615452878,0.991461277008057
125,1,1,"smlnorm",NA,0.123135862542016,0.00829195976257324
125,1,1,"Wishart",NA,0.222868332959147,1.02051138877869
125,1,1,"smlnorm",NA,0.199807870015739,0.00790166854858398
