"replication","nobs","model","combo","kernel","criterion","logISE","logIAE","bandwidth","time_min"
4,125,1,5,"Wishart","lcv",0.00371186325102642,0.776262142695183,0.196678633575051,19.1596178809802
4,125,2,1,"smlnorm","lcv",0.00102243447591087,0.474254019998744,0.168812653128617,5.04719476302465
4,125,2,2,"Wishart","lscv",0.00109157656973301,0.590128369182037,0.109779162259661,19.3509734471639
4,125,2,3,"smnorm","lcv",0.00275242051136591,0.550481649652275,2.879741055172,1.50884776115417
4,125,2,4,"smlnorm","lscv",0.000980291873641729,0.476720082937704,0.180584137325087,5.72633794148763
4,125,2,5,"Wishart","lcv",0.00114406481219247,0.534197116236015,0.0784728503984457,26.1140704870224
4,125,3,1,"smlnorm","lcv",21.9206353547972,0.433572920475618,0.172045825501156,3.01854289372762
4,125,3,2,"Wishart","lscv",26.1242737094163,0.441267754156629,0.0491245559188062,35.2849363406499
4,125,3,3,"smnorm","lcv",129.122846349881,1.20571299177318,0.349851030385632,0.38971118927002
4,125,3,4,"smlnorm","lscv",20.9632205729672,0.412753233827787,0.118969893244126,4.39060538609823
4,125,3,5,"Wishart","lcv",28.2646813158733,0.434981953695357,0.0882541297807038,16.2986266970634
4,125,4,1,"smlnorm","lcv",9.47928328557878,0.504355238091045,0.191590196978426,3.05848455826441
4,125,4,2,"Wishart","lscv",6.63230442232713,0.492904733281464,0.0338609859217972,50.983962949117
4,125,4,3,"smnorm","lcv",38.7787474586614,1.03207317697428,0.137474091355251,0.661191825071971
4,125,4,4,"smlnorm","lscv",7.15950592130535,0.457044946057289,0.127427712367362,4.44479703903198
4,125,4,5,"Wishart","lcv",9.13064153255719,0.493796411164013,0.0868046243064987,14.9369153380394
4,125,5,1,"smlnorm","lcv",0.0428379378966721,0.370823360508316,0.674323334955309,3.39059319893519
4,125,5,2,"Wishart","lscv",0.0217159359046736,0.779993610812649,0.375974446164217,22.9900299628576
4,125,5,3,"smnorm","lcv",0.0620814841699144,0.929227006471729,9.99994283346405,0.366621319452922
4,125,5,4,"smlnorm","lscv",0.0438835326810346,0.354909780575108,0.428014705571741,6.52375278870265
4,125,5,5,"Wishart","lcv",0.0228304534841693,0.611437869828149,0.29368389879893,26.1150811831156
4,125,6,1,"smlnorm","lcv",NA,0.468357177040541,1.22635624484344,4.20529885292053
4,125,6,2,"Wishart","lscv",NA,NA,9.99994039198622,0.319356894493103
4,125,6,3,"smnorm","lcv",NA,1.02921964066597,1.79253182720644,0.238689565658569
4,125,6,4,"smlnorm","lscv",NA,0.438232058936456,0.625426420582553,7.12076828479767
4,125,6,5,"Wishart","lcv",NA,NA,1.96736552239647,0.155435129006704
5,125,1,1,"smlnorm","lcv",0.00242413545691565,0.50222258831436,0.272884485002394,5.86849666039149
5,125,1,2,"Wishart","lscv",0.00179683720449512,0.606894502922475,0.143873978104184,30.6082384308179
5,125,1,3,"smnorm","lcv",0.00426801827464474,0.656988843953541,1.29675354574998,3.06160861651103
5,125,1,4,"smlnorm","lscv",0.00265559553737991,0.47553463375744,0.210018769224505,7.28412248293559
5,125,1,5,"Wishart","lcv",0.00176301966021042,0.623497710726453,0.152114144420829,29.2270126978556
